Signaller.matcat,Mat_cat,Sgn_sex,IRS_1,IRS_3,IGR_vid,IGR_obs,hour_vid,hour_obs,Perc_IRS1,n_tokens,n_coms,Seasons
ID02.cat-4,cat-4,female,26,17,4.628542679859131,0.7252252252252253,34.78416666666667,222,43.333333333333336,161,108,"FS1,FS2,FS3,Pilot"
ID03.cat-4,cat-4,female,28,13,4.258212266513991,0.536036036036036,27.946,222,46.666666666666664,119,82,"FS1,FS2,FS3,Pilot"
ID04.cat-3,cat-3,female,11,4,23.142713399295655,1.6428571428571428,1.9876666666666667,28,18.333333333333332,46,16,Pilot
ID04.cat-4,cat-4,female,22,12,3.2067633554405655,0.4536082474226804,27.442,194,36.666666666666664,88,56,"FS1,FS2,FS3"
ID05.cat-4,cat-4,female,23,9,3.6570352668549497,0.45495495495495497,27.618,222,38.333333333333336,101,56,"FS1,FS2,FS3,Pilot"
ID06.cat-2,cat-2,female,25,11,2.1869202511272468,0.4009009009009009,40.6965,222,41.66666666666667,89,61,"FS1,FS2,FS3,Pilot"
ID07.cat-3,cat-3,male,19,8,4.579620687938673,0.4812554489973845,10.0445,95.58333333333333,31.666666666666664,46,26,"FS1,Pilot"
ID08.cat-1,cat-1,male,15,4,1.4984169949488848,0.32432432432432434,20.688499999999998,95.58333333333333,25,31,21,"FS1,Pilot"
ID08.cat-2,cat-2,male,31,12,4.618900215548678,0.7514831905075808,20.567666666666664,126.41666666666666,51.66666666666667,95,57,"FS2,FS3"
ID09.cat-1,cat-1,female,29,9,3.965912041736503,0.8788142981691369,21.1805,95.58333333333333,48.333333333333336,84,44,"FS1,Pilot"
ID09.cat-2,cat-2,female,21,6,2.4924275205538726,0.3796967699406724,19.258333333333333,126.41666666666666,35,48,29,"FS2,FS3"
ID10.cat-4,cat-4,female,23,8,4.198107622256429,0.2927927927927928,15.483166666666667,222,38.333333333333336,65,34,"FS1,FS2,FS3,Pilot"
ID11.cat-4,cat-4,female,32,18,5.826848614713732,0.6981981981981982,26.601,222,53.333333333333336,155,61,"FS1,FS2,FS3,Pilot"
ID12.cat-4,cat-4,male,21,16,2.230858266138158,0.5180180180180181,51.54966666666667,222,35,115,77,"FS1,FS2,FS3,Pilot"
ID13.cat-1,cat-1,male,20,9,1.4964692678212344,0.32989690721649484,42.76733333333333,194,33.33333333333333,64,40,"FS1,FS2,FS3"
ID14.cat-4,cat-4,male,15,5,1.9021598160092688,0.2631578947368421,28.9145,209,25,55,30,"FS1,FS2,FS3,Pilot"
ID15.cat-1,cat-1,female,3,1,1.5938069216757744,0.4375,4.3919999999999995,16,5,7,5,Pilot
ID15.cat-2,cat-2,female,45,22,6.475178482483813,1.3471502590673574,40.15333333333333,193,75,260,136,"FS1,FS2,FS3"
ID16.cat-2,cat-2,male,40,22,6.771453194894734,1.3476263399693722,32.489333333333335,163.25,66.66666666666666,220,114,"FS1,FS2,Pilot"
ID16.cat-3,cat-3,male,20,4,4.91471523561723,0.7431693989071039,6.918,45.75,33.33333333333333,34,19,FS3
ID17.cat-4,cat-4,female,19,6,2.70540751575405,0.19617224880382775,15.154833333333332,209,31.666666666666664,41,32,"FS1,FS2,FS3,Pilot"
ID18.cat-4,cat-4,female,27,14,4.2542119300071555,0.5190476190476191,25.621666666666666,210,45,109,60,"FS1,FS2,FS3,Pilot"
ID19.cat-3,cat-3,female,33,15,9.005535512654568,1.2398104265402843,12.103666666666667,87.91666666666667,55.00000000000001,109,47,"FS1,Pilot"
ID19.cat-4,cat-4,female,19,9,4.145770645269141,0.5120440467997247,14.955,121.08333333333333,31.666666666666664,62,32,"FS2,FS3"
ID20.cat-4,cat-4,female,30,14,3.956677024367855,0.5980861244019139,31.592166666666667,209,50,125,74,"FS1,FS2,FS3,Pilot"
ID21.cat-3,cat-3,male,43,26,7.574608265967361,1.1148325358851674,30.76066666666667,209,71.66666666666667,233,111,"FS1,FS2,FS3,Pilot"
ID22.cat-3,cat-3,male,30,9,3.824487053594501,0.35406698564593303,19.349,209,50,74,37,"FS1,FS2,FS3,Pilot"
ID23.cat-4,cat-4,male,13,3,5.4383293452251475,0.12953367875647667,4.5969999999999995,193,21.666666666666668,25,11,"FS1,FS2,FS3"
ID24.cat-4,cat-4,female,14,4,1.8811636612385279,0.15789473684210525,17.542333333333332,209,23.333333333333332,33,16,"FS1,FS2,FS3,Pilot"
ID25.cat-4,cat-4,male,5,1,1.0294243802007377,0.05741626794258373,11.657,209,8.333333333333332,12,10,"FS1,FS2,FS3,Pilot"
ID26.cat-1,cat-1,male,9,2,0.8053758840258728,0.12656558998022413,19.8665,126.41666666666666,15,16,7,"FS2,FS3"
ID27.cat-1,cat-1,male,3,1,0.25900696728742,0.03955174686882004,19.3045,126.41666666666666,5,5,5,"FS2,FS3"
