"","n_obs_days","Season","IRS_3","Signaller.matcat","IRS_1","Perc_IRS1","n_tokens","n_coms","Sgn_sex","Obs_h","IGR_obs"
"1",35,"FS1,FS2,FS3,Pilot",23,"ID01.cat-3",37,61.6666666666667,150,88,"female",222,0.675675675675676
"2",33,"FS1,FS2,FS3,Pilot",17,"ID02.cat-4",26,43.3333333333333,161,108,"female",222,0.725225225225225
"3",33,"FS1,FS2,FS3,Pilot",13,"ID03.cat-4",28,46.6666666666667,119,82,"female",222,0.536036036036036
"4",3,"Pilot",4,"ID04.cat-3",11,18.3333333333333,46,16,"female",28,1.64285714285714
"5",22,"FS1,FS2,FS3",12,"ID04.cat-4",22,36.6666666666667,88,56,"female",194,0.45360824742268
"6",23,"FS1,FS2,FS3,Pilot",9,"ID05.cat-4",23,38.3333333333333,101,56,"female",222,0.454954954954955
"7",29,"FS1,FS2,FS3,Pilot",11,"ID06.cat-2",25,41.6666666666667,89,61,"female",222,0.400900900900901
"8",12,"FS1,Pilot",8,"ID07.cat-3",19,31.6666666666667,46,26,"male",95.5833333333333,0.481255448997384
"9",11,"FS1,Pilot",4,"ID08.cat-1",15,25,31,21,"male",95.5833333333333,0.324324324324324
"10",21,"FS2,FS3",12,"ID08.cat-2",31,51.6666666666667,95,57,"male",126.416666666667,0.751483190507581
"11",15,"FS1,Pilot",9,"ID09.cat-1",29,48.3333333333333,84,44,"female",95.5833333333333,0.878814298169137
"12",20,"FS2,FS3",6,"ID09.cat-2",21,35,48,29,"female",126.416666666667,0.379696769940672
"13",16,"FS1,FS2,FS3,Pilot",8,"ID10.cat-4",23,38.3333333333333,65,34,"female",222,0.292792792792793
"14",25,"FS1,FS2,FS3,Pilot",18,"ID11.cat-4",32,53.3333333333333,155,61,"female",222,0.698198198198198
"15",35,"FS1,FS2,FS3,Pilot",16,"ID12.cat-4",21,35,115,77,"male",222,0.518018018018018
"16",20,"FS1,FS2,FS3",9,"ID13.cat-1",20,33.3333333333333,64,40,"male",194,0.329896907216495
"17",18,"FS1,FS2,FS3,Pilot",5,"ID14.cat-4",15,25,55,30,"male",209,0.263157894736842
"18",4,"Pilot",1,"ID15.cat-1",3,5,7,5,"female",16,0.4375
"19",38,"FS1,FS2,FS3",22,"ID15.cat-2",45,75,260,136,"female",193,1.34715025906736
"20",33,"FS1,FS2,Pilot",22,"ID16.cat-2",40,66.6666666666667,220,114,"male",163.25,1.34762633996937
"21",8,"FS3",4,"ID16.cat-3",20,33.3333333333333,34,19,"male",45.75,0.743169398907104
"22",17,"FS1,FS2,FS3,Pilot",6,"ID17.cat-4",19,31.6666666666667,41,32,"female",209,0.196172248803828
"23",28,"FS1,FS2,FS3,Pilot",14,"ID18.cat-4",27,45,109,60,"female",210,0.519047619047619
"24",15,"FS1,Pilot",15,"ID19.cat-3",33,55,109,47,"female",87.9166666666667,1.23981042654028
"25",15,"FS2,FS3",9,"ID19.cat-4",19,31.6666666666667,62,32,"female",121.083333333333,0.512044046799725
"26",36,"FS1,FS2,FS3,Pilot",14,"ID20.cat-4",30,50,125,74,"female",209,0.598086124401914
"27",42,"FS1,FS2,FS3,Pilot",26,"ID21.cat-3",43,71.6666666666667,233,111,"male",209,1.11483253588517
"28",22,"FS1,FS2,FS3,Pilot",9,"ID22.cat-3",30,50,74,37,"male",209,0.354066985645933
"29",8,"FS1,FS2,FS3",3,"ID23.cat-4",13,21.6666666666667,25,11,"male",193,0.129533678756477
"30",12,"FS1,FS2,FS3,Pilot",4,"ID24.cat-4",14,23.3333333333333,33,16,"female",209,0.157894736842105
"31",7,"FS1,FS2,FS3,Pilot",1,"ID25.cat-4",5,8.33333333333333,12,10,"male",209,0.0574162679425837
"32",5,"FS2,FS3",2,"ID26.cat-1",9,15,16,7,"male",126.416666666667,0.126565589980224
"33",3,"FS2,FS3",1,"ID27.cat-1",3,5,5,5,"male",126.416666666667,0.03955174686882
