Date,Obs_min,Social_unit
2019-08-03,240,Muk
2019-08-04,240,Muk
2019-08-06,240,Bit
2019-08-07,240,Ruk
2019-08-09,240,Bit
2019-08-10,240,Ruk
2019-08-13,240,Muk
2019-08-14,240,Muk
2019-08-16,240,Bit
2019-08-17,240,Bit
2019-08-20,240,Ruk
2019-08-21,240,Ruk
2019-08-24,240,Muk
2019-08-25,240,Muk
2019-08-26,240,Muk
2019-08-28,240,Ruk
2019-08-29,240,Ruk
2019-12-01,35,Muk
2019-12-02,230,Ruk
2019-12-03,215,Bit
2019-12-05,240,Muk
2019-12-06,180,Oru
2019-12-07,180,Oru
2019-12-08,240,Bit
2019-12-11,235,Bit
2019-12-12,240,Bit
2019-12-13,240,Oru
2019-12-15,230,Muk
2019-12-16,240,Muk
2019-12-19,235,Ruk
2019-12-20,240,Bit
2019-12-21,240,Bit
2020-01-06,240,Muk
2020-01-07,235,Muk
2020-01-08,100,Muk
2020-01-09,170,Oru
2020-01-10,240,Bit
2020-01-11,240,Bit
2020-01-14,235,Muk
2020-01-15,230,Muk
2020-01-17,215,Ruk
2020-01-18,310,Ruk
2020-01-19,180,Oru
2020-01-21,210,Bit
2020-01-22,235,Bit
2020-01-23,210,Ruk
2020-01-25,180,Oru
2020-01-26,165,Oru
2020-01-27,75,Oru
2020-01-30,220,Muk
2020-01-31,90,Muk
2020-02-03,215,Bit
2020-02-04,180,Oru
2020-02-05,195,Bit
2020-02-07,225,Ruk
2020-02-08,210,Ruk
2020-02-09,230,Muk
2020-02-10,230,Muk
2020-02-11,235,Bit
2020-02-16,210,Bit
2020-02-17,195,Muk
2020-02-18,240,Muk
2020-02-21,150,Muk
2020-02-23,240,Oru
2020-02-24,80,Oru
2020-03-05,225,Bit
2020-03-06,235,Bit
2020-03-07,240,Ruk
2020-03-08,240,Muk
2020-03-09,240,Muk
2020-03-11,200,Bit
2020-03-12,240,Ruk
2020-03-13,225,Muk
2020-03-15,240,Bit
2020-03-16,225,Bit
2020-03-17,210,Muk
2021-07-01,225,Muk
2021-07-02,230,Muk
2021-07-03,240,Bit
2021-07-04,240,Muk
2021-07-06,200,Muk
2021-07-07,240,Bit
2021-07-08,240,Ruk
2021-07-09,240,Bit
2021-07-11,235,Muk
2021-07-12,235,Muk
2021-07-13,230,Bit
2021-07-14,100,Bit
2021-07-15,240,Muk
2021-07-16,205,Muk
2021-07-19,230,Bit
2021-07-20,230,Bit
2021-07-21,135,Muk
2021-07-24,240,Bit
2021-07-25,230,Muk
2021-07-26,180,Muk
2021-07-27,240,Bit
2021-07-29,240,Bit
2021-08-01,230,Muk
2021-08-02,185,Muk
2021-08-03,230,Bit
2021-08-04,235,Bit
2021-08-06,240,Bit
2021-08-07,230,Bit
2021-08-09,235,Muk
2021-08-10,220,Muk
2021-08-12,230,Muk
2021-08-13,240,Muk
2021-08-14,220,Bit
2021-08-15,210,Bit
2021-08-17,230,Muk
2021-08-18,210,Ruk
2021-08-21,230,Bit
2021-08-22,230,Bit
2021-08-23,185,Muk
2021-08-24,235,Muk
2021-08-25,240,Muk
2021-08-27,230,Bit
2021-08-28,225,Oru
2021-08-29,235,Bit
2021-08-30,205,Muk
2022-01-08,240,Bit
2022-01-21,240,Muk
2022-01-22,215,Bit
2022-01-24,200,Muk
2022-01-25,220,Bit
2022-01-26,240,Muk
2022-01-28,220,Muk
2022-01-29,170,Bit
2022-02-02,205,Muk
2022-02-03,240,Muk
2022-02-04,240,Bit
2022-02-06,235,Bit
2022-02-08,190,Bit
2022-02-09,135,Muk
2022-02-11,185,Muk
2022-02-12,280,Muk
2022-02-13,230,Bit
2022-02-15,210,Oru
2022-02-16,240,Oru
2022-02-17,240,Oru
2022-02-20,130,Bit
2022-03-08,140,Bit
2022-03-09,80,Bit
2022-03-10,155,Muk
2022-03-11,240,Bit
2022-03-12,175,Bit
2022-03-14,240,Muk
2022-03-15,215,Muk
2022-03-22,240,Bit
2022-03-23,240,Muk
